epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,593.508,0.4888,0.89053,0.97461,0.00479,0.436,0.00374,0.00168,3.07509,3925.69,28.9241,0.000652482,0.000652482,0.000652482
2,1177.14,0.69205,0.73255,1.09295,0.00482,0.408,0.00336,0.00112,3.77972,10137.8,571.278,0.00118855,0.00118855,0.00118855
3,1759.78,0.66217,0.64637,1.08324,0.10535,0.044,0.0516,0.00559,3.95498,614.139,3883.47,0.00159262,0.00159262,0.00159262
4,2341.88,0.57492,0.53587,1.01234,0.62136,0.66,0.67761,0.49504,0.94501,3.20278,1.55146,0.001406,0.001406,0.001406
5,2921.57,0.49094,0.46095,0.95894,0.80085,0.752,0.82963,0.73349,0.58613,1.24141,1.0669,0.001208,0.001208,0.001208
6,3502.37,0.41607,0.38106,0.9108,0.96548,0.988,0.9927,0.93639,0.38296,0.39121,0.88791,0.00101,0.00101,0.00101
7,4088.9,0.40728,0.37041,0.91095,0.97632,0.98935,0.99323,0.95414,0.32987,0.31048,0.8626,0.000812,0.000812,0.000812
8,4661.72,0.32058,0.30986,0.87824,0.99439,1,0.995,0.97054,0.28496,0.26689,0.83903,0.000614,0.000614,0.000614
9,5323.91,0.3024,0.28424,0.86686,0.99959,0.992,0.995,0.98572,0.24973,0.24077,0.82373,0.000416,0.000416,0.000416
10,6238.35,0.25864,0.24551,0.84903,1,0.99965,0.995,0.98963,0.20312,0.20969,0.81187,0.000218,0.000218,0.000218
